iter	Logloss
0	0.5410632921
1	0.4349374522
2	0.3585777283
3	0.3004062487
4	0.2490444681
5	0.2120108895
6	0.1819264453
7	0.1605407051
8	0.1448404063
9	0.1315601846
10	0.1200288524
11	0.1096734337
12	0.09818404654
13	0.09080580836
14	0.08465397047
15	0.07781786711
16	0.07450417228
17	0.06990178979
18	0.06671869858
19	0.06316569784
20	0.06077538366
21	0.0572022521
22	0.05468662096
23	0.05158008078
24	0.04917534538
25	0.04744750728
26	0.04529354261
27	0.0438330982
28	0.04187432165
29	0.0396676105
30	0.03761712365
31	0.03645360366
32	0.03471261315
33	0.03322687978
34	0.03189002535
35	0.03103874248
36	0.03028915239
37	0.02966311496
38	0.02855039679
39	0.02790568393
40	0.02670634311
41	0.02586264818
42	0.02512027492
43	0.02442020126
44	0.02404374662
45	0.02360386434
46	0.02311810825
47	0.02246470037
48	0.02186470446
49	0.02098650725
50	0.02035882369
51	0.02030797834
52	0.02001405384
53	0.01932064554
54	0.01878119344
55	0.01827277723
56	0.01795305584
57	0.01754341125
58	0.01708178935
59	0.01672456264
60	0.01627882667
61	0.01590783285
62	0.01555506146
63	0.01509365828
64	0.01475739168
65	0.01461907366
66	0.01410846814
67	0.0138322965
68	0.01343572451
69	0.0130086764
70	0.01263640756
71	0.01217687441
72	0.01183364702
73	0.01170417744
74	0.01145779257
75	0.0111744777
76	0.01099586901
77	0.01078850186
78	0.01042446054
79	0.01025759448
80	0.01003868165
81	0.00985229741
82	0.009653023015
83	0.009564561429
84	0.009405205561
85	0.009122384113
86	0.008946433275
87	0.008860167213
88	0.00871080212
89	0.008559229063
90	0.008475196362
91	0.008362608889
92	0.008225762326
93	0.008109298996
94	0.008022219202
95	0.007949363667
96	0.007926468746
97	0.007910955989
98	0.007711752601
99	0.007607198798
100	0.007568670356
101	0.007435472115
102	0.007336758531
103	0.00725628915
104	0.007135662825
105	0.007104370905
106	0.007044215306
107	0.006956502666
108	0.006910230802
109	0.006900380487
110	0.006827966027
111	0.006723894244
112	0.006708263833
113	0.006608525048
114	0.006507352124
115	0.006459129375
116	0.006447261313
117	0.006364820314
118	0.006301343959
119	0.006209003407
120	0.006190941645
121	0.006152897296
122	0.006057690537
123	0.005950415653
124	0.005896005941
125	0.005845538948
126	0.005830001831
127	0.005776372163
128	0.005709455324
129	0.005673039996
130	0.00559566021
131	0.005523900364
132	0.005451434073
133	0.005383822192
134	0.005340969563
135	0.005272747641
136	0.005256826981
137	0.005198833735
138	0.005168973881
139	0.005125846552
140	0.005064641911
141	0.005025916514
142	0.005005742156
143	0.004986079879
144	0.004954095509
145	0.004902281968
146	0.004851506067
147	0.004774482354
148	0.004703276054
149	0.004654551071
150	0.004653696392
151	0.004612544309
152	0.004594793527
153	0.004545634726
154	0.004517012057
155	0.004496162871
156	0.004432248033
157	0.004425446883
158	0.004361083197
159	0.004287094914
160	0.004279406693
161	0.004236849495
162	0.004198824323
163	0.004183245224
164	0.004156631231
165	0.004124002871
166	0.004119375478
167	0.00406458326
168	0.004028439522
169	0.003982470347
170	0.003976048594
171	0.003902460959
172	0.003868135939
173	0.00383519919
174	0.003794118373
175	0.003765369498
176	0.003723948676
177	0.003691343898
178	0.003648578861
179	0.003627093201
180	0.003620881879
181	0.003585800917
182	0.003557154666
183	0.003548927929
184	0.00353402314
185	0.003512330677
186	0.003486345125
187	0.003474195107
188	0.003443205097
189	0.003393338556
190	0.003367970819
191	0.003343826273
192	0.003341561297
193	0.003318398413
194	0.003297986155
195	0.003271215377
196	0.003244479325
197	0.003233033419
198	0.003186646752
199	0.003176138194
200	0.003157949966
201	0.003149743443
202	0.003137642923
203	0.003131884077
204	0.003123254102
205	0.003085796211
206	0.003074429346
207	0.003053413008
208	0.0030414063
209	0.003033090415
210	0.00299318977
211	0.002993126537
212	0.00296960188
213	0.002958653802
214	0.002954305255
215	0.002949804845
216	0.00293152436
217	0.002923256418
218	0.002910449194
219	0.00289685467
220	0.002874117831
221	0.002859946956
222	0.002851923393
223	0.002845068341
224	0.002829366404
225	0.002819046249
226	0.002801202432
227	0.002795969922
228	0.002778381109
229	0.002774224592
230	0.002742855963
231	0.002724171462
232	0.0027115713
